scenario,seed,method,f1,precision,recall,avg_detection_delay,total_fp,accuracy
har_label_shuffle,42,CDA-FedAvg,0.3636,0.2222,1.0,0.0,14,0.8023
har_label_shuffle,42,DAAW,0.8889,0.8,1.0,1.25,1,0.795
har_label_shuffle,42,FedAvg,,,,,,0.7994
har_label_shuffle,123,CDA-FedAvg,0.4211,0.2667,1.0,0.0,11,0.7772
har_label_shuffle,123,DAAW,1.0,1.0,1.0,1.0,0,0.7811
har_label_shuffle,123,FedAvg,,,,,,0.7792
har_label_shuffle,456,CDA-FedAvg,0.4211,0.2667,1.0,0.0,11,0.7324
har_label_shuffle,456,DAAW,1.0,1.0,1.0,1.25,0,0.7197
har_label_shuffle,456,FedAvg,,,,,,0.7377
har_label_shuffle,789,CDA-FedAvg,0.4211,0.2667,1.0,0.0,11,0.7878
har_label_shuffle,789,DAAW,1.0,1.0,1.0,1.0,0,0.7946
har_label_shuffle,789,FedAvg,,,,,,0.7981
har_label_shuffle,999,CDA-FedAvg,0.3636,0.2222,1.0,0.0,14,0.7839
har_label_shuffle,999,DAAW,1.0,1.0,1.0,1.5,0,0.7854
har_label_shuffle,999,FedAvg,,,,,,0.7854
har_activity_drift,42,CDA-FedAvg,0.3636,0.2222,1.0,5.5,14,0.9781
har_activity_drift,42,DAAW,0.0,0.0,0.0,,1,0.9725
har_activity_drift,42,FedAvg,,,,,,0.9781
har_activity_drift,123,CDA-FedAvg,0.381,0.2353,1.0,6.25,13,0.9759
har_activity_drift,123,DAAW,0.0,0.0,0.0,,0,0.9765
har_activity_drift,123,FedAvg,,,,,,0.9765
har_activity_drift,456,CDA-FedAvg,0.4211,0.2667,1.0,10.0,11,0.9629
har_activity_drift,456,DAAW,0.0,0.0,0.0,,1,0.9686
har_activity_drift,456,FedAvg,,,,,,0.9618
har_activity_drift,789,CDA-FedAvg,0.4,0.25,1.0,6.25,12,0.9824
har_activity_drift,789,DAAW,0.0,0.0,0.0,,0,0.9771
har_activity_drift,789,FedAvg,,,,,,0.9771
har_activity_drift,999,CDA-FedAvg,0.4211,0.2667,1.0,2.0,11,0.9667
har_activity_drift,999,DAAW,0.0,0.0,0.0,,0,0.9618
har_activity_drift,999,FedAvg,,,,,,0.9618
gas_label_shuffle,42,CDA-FedAvg,0.381,0.2353,1.0,0.0,13,0.8161
gas_label_shuffle,42,DAAW,1.0,1.0,1.0,1.5,0,0.8218
gas_label_shuffle,42,FedAvg,,,,,,0.8161
gas_label_shuffle,123,CDA-FedAvg,0.4,0.25,1.0,0.0,12,0.7047
gas_label_shuffle,123,DAAW,1.0,1.0,1.0,1.75,0,0.7011
gas_label_shuffle,123,FedAvg,,,,,,0.7054
gas_label_shuffle,456,CDA-FedAvg,0.381,0.2353,1.0,0.0,13,0.7915
gas_label_shuffle,456,DAAW,1.0,1.0,1.0,1.5,0,0.7872
gas_label_shuffle,456,FedAvg,,,,,,0.7922
gas_label_shuffle,789,CDA-FedAvg,0.4,0.25,1.0,0.0,12,0.8038
gas_label_shuffle,789,DAAW,1.0,1.0,1.0,1.5,0,0.8063
gas_label_shuffle,789,FedAvg,,,,,,0.8038
gas_label_shuffle,999,CDA-FedAvg,0.4444,0.2857,1.0,0.0,10,0.7995
gas_label_shuffle,999,DAAW,1.0,1.0,1.0,1.75,0,0.7916
gas_label_shuffle,999,FedAvg,,,,,,0.7937
gas_sudden_batch,42,CDA-FedAvg,0.4706,0.3077,1.0,0.0,9,0.9455
gas_sudden_batch,42,DAAW,0.8571,1.0,0.75,4.0,0,0.9364
gas_sudden_batch,42,FedAvg,,,,,,0.9424
